C:\Users\hp\DataSet\contracts\ropsten\b3\B38Cd3090512aebbe7Ffa6a268e0F4b516D677bc_Tribe.sol
jar:file:/C:/Users/hp/AppData/Roaming/npm/node_modules/@smartdec/smartcheck/jdeploy-bundle/smartcheck-2.0-jar-with-dependencies.jar!/solidity-rules.xmlruleId: SOLIDITY_ERC20_APPROVE
patternId: af782c
severity: 2
line: 157
column: 2
content: functionapprove(address_spender,uint256_value)publicreturns(bool){allowed[msg.sender][_spender]=_value;Approval(msg.sender,_spender,_value);returntrue;}

ruleId: SOLIDITY_EXTRA_GAS_IN_LOOPS
patternId: d3j11j
severity: 1
line: 412
column: 8
content: for(uintp=0;p<c.payoutAddresses.length;p++){addresspa=c.payoutAddresses[p];if(c.payouts[pa]>0){if(!pa.send(c.payouts[pa])){c.payoutFunds+=c.payouts[pa];}}}

ruleId: SOLIDITY_EXTRA_GAS_IN_LOOPS
patternId: d3j11j
severity: 1
line: 425
column: 8
content: for(uintf=0;f<c.funderAddresses.length;f++){addressfa=c.funderAddresses[f];if(f==(c.funderAddresses.length-1)){balances[fa]+=amountLeft;Transfer(owner,fa,amountLeft);amountLeft-=amountLeft;}else{uint256addingAmount=(c.amount*c.funds[fa])/c.raisedFunds;balances[fa]+=addingAmount;Transfer(owner,fa,addingAmount);amountLeft-=addingAmount;}}

ruleId: SOLIDITY_EXTRA_GAS_IN_LOOPS
patternId: d3j11j
severity: 1
line: 457
column: 8
content: for(uintf=0;f<c.funderAddresses.length;f++){addressfa=c.funderAddresses[f];fa.transfer(c.funds[fa]);}

ruleId: SOLIDITY_FUNCTIONS_RETURNS_TYPE_AND_NO_RETURN
patternId: 47acc2
severity: 1
line: 344
column: 4
content: functionsetCrowdfundPayout(address_recipient,uint_payout)publiconlyOwnerreturns(bool){Crowdfundstoragec=crowdfunds[crowdfundIndex];require(crowdfundActive==true);require(c.payoutFunds>=_payout);if(c.payouts[_recipient]<=0){c.payoutAddresses.push(_recipient);}c.payouts[_recipient]+=_payout;c.payoutFunds-=_payout;}

ruleId: SOLIDITY_GAS_LIMIT_IN_LOOPS
patternId: f6f853
severity: 2
line: 412
column: 8
content: for(uintp=0;p<c.payoutAddresses.length;p++){addresspa=c.payoutAddresses[p];if(c.payouts[pa]>0){if(!pa.send(c.payouts[pa])){c.payoutFunds+=c.payouts[pa];}}}

ruleId: SOLIDITY_GAS_LIMIT_IN_LOOPS
patternId: f6f853
severity: 2
line: 425
column: 8
content: for(uintf=0;f<c.funderAddresses.length;f++){addressfa=c.funderAddresses[f];if(f==(c.funderAddresses.length-1)){balances[fa]+=amountLeft;Transfer(owner,fa,amountLeft);amountLeft-=amountLeft;}else{uint256addingAmount=(c.amount*c.funds[fa])/c.raisedFunds;balances[fa]+=addingAmount;Transfer(owner,fa,addingAmount);amountLeft-=addingAmount;}}

ruleId: SOLIDITY_GAS_LIMIT_IN_LOOPS
patternId: f6f853
severity: 2
line: 457
column: 8
content: for(uintf=0;f<c.funderAddresses.length;f++){addressfa=c.funderAddresses[f];fa.transfer(c.funds[fa]);}

ruleId: SOLIDITY_OVERPOWERED_ROLE
patternId: j83hf7
severity: 2
line: 344
column: 4
content: functionsetCrowdfundPayout(address_recipient,uint_payout)publiconlyOwnerreturns(bool){Crowdfundstoragec=crowdfunds[crowdfundIndex];require(crowdfundActive==true);require(c.payoutFunds>=_payout);if(c.payouts[_recipient]<=0){c.payoutAddresses.push(_recipient);}c.payouts[_recipient]+=_payout;c.payoutFunds-=_payout;}

ruleId: SOLIDITY_PRAGMAS_VERSION
patternId: 23fc32
severity: 1
line: 1
column: 16
content: ^

ruleId: SOLIDITY_SAFEMATH
patternId: 837cac
severity: 1
line: 66
column: 2
content: usingSafeMathforuint256;

ruleId: SOLIDITY_TRANSFER_IN_LOOP
patternId: 8jdj43
severity: 2
line: 457
column: 8
content: for(uintf=0;f<c.funderAddresses.length;f++){addressfa=c.funderAddresses[f];fa.transfer(c.funds[fa]);}

ruleId: SOLIDITY_UPGRADE_TO_050
patternId: 91h3sa
severity: 1
line: 489
column: 15
content: public

ruleId: SOLIDITY_UPGRADE_TO_050
patternId: 341gim
severity: 1
line: 270
column: 35
content: string_name

ruleId: SOLIDITY_UPGRADE_TO_050
patternId: 341gim
severity: 1
line: 270
column: 49
content: string_symbol

ruleId: SOLIDITY_VISIBILITY
patternId: b51ce0
severity: 1
line: 68
column: 2
content: mapping(address=>uint256)balances;

ruleId: SOLIDITY_VISIBILITY
patternId: b51ce0
severity: 1
line: 70
column: 2
content: uint256totalSupply_;

ruleId: SOLIDITY_VISIBILITY
patternId: b51ce0
severity: 1
line: 471
column: 4
content: mapping(address=>uint256)dividendBalanceOf;

ruleId: SOLIDITY_VISIBILITY
patternId: b51ce0
severity: 1
line: 472
column: 4
content: mapping(address=>uint256)dividendCreditedTo;

SOLIDITY_VISIBILITY :4
SOLIDITY_SAFEMATH :1
SOLIDITY_OVERPOWERED_ROLE :1
SOLIDITY_PRAGMAS_VERSION :1
SOLIDITY_FUNCTIONS_RETURNS_TYPE_AND_NO_RETURN :1
SOLIDITY_EXTRA_GAS_IN_LOOPS :3
SOLIDITY_UPGRADE_TO_050 :3
SOLIDITY_GAS_LIMIT_IN_LOOPS :3
SOLIDITY_TRANSFER_IN_LOOP :1
SOLIDITY_ERC20_APPROVE :1
